iter	Passed	Remaining
787	1150	309
788	1151	308
789	1153	306
790	1154	304
791	1155	303
792	1156	301
793	1157	300
794	1158	298
795	1159	297
796	1161	295
797	1162	294
798	1163	292
799	1164	291
800	1165	289
801	1166	288
802	1167	286
803	1168	284
804	1170	283
805	1171	281
806	1172	280
807	1173	278
808	1174	277
809	1175	275
810	1176	274
811	1178	272
812	1179	271
813	1180	269
814	1181	268
815	1182	266
816	1184	265
817	1185	263
818	1186	262
819	1187	260
820	1188	259
821	1190	257
822	1191	256
823	1192	254
824	1193	253
825	1194	251
826	1195	250
827	1196	248
828	1198	247
829	1199	245
830	1200	244
831	1201	242
832	1202	241
833	1203	239
834	1204	238
835	1206	236
836	1207	235
837	1208	233
838	1209	232
839	1210	230
840	1211	229
841	1212	227
842	1214	226
843	1215	224
844	1216	223
845	1217	221
846	1218	220
847	1220	218
848	1221	217
849	1222	215
850	1223	214
851	1224	212
852	1225	211
853	1226	209
854	1228	208
855	1229	206
856	1230	205
857	1231	203
858	1232	202
859	1233	200
860	1234	199
861	1235	197
862	1236	196
863	1238	194
864	1239	193
865	1240	191
866	1241	190
867	1242	188
868	1243	187
869	1244	185
870	1245	184
871	1246	183
872	1248	181
873	1249	180
874	1250	178
875	1251	177
876	1252	175
877	1253	174
878	1254	172
879	1256	171
880	1257	169
881	1258	168
882	1259	166
883	1260	165
884	1261	163
885	1262	162
886	1264	161
887	1265	159
888	1266	158
889	1267	156
890	1268	155
891	1270	153
892	1271	152
893	1272	150
894	1273	149
895	1274	147
896	1275	146
897	1276	145
898	1277	143
899	1279	142
900	1280	140
901	1281	139
902	1282	137
903	1283	136
904	1285	134
905	1286	133
906	1287	131
907	1288	130
908	1289	129
909	1290	127
910	1291	126
911	1292	124
912	1294	123
913	1295	121
914	1296	120
915	1297	119
916	1298	117
917	1300	116
918	1301	114
919	1302	113
920	1303	111
921	1304	110
922	1305	108
923	1306	107
924	1307	106
925	1308	104
926	1310	103
927	1311	101
928	1312	100
929	1313	98
930	1314	97
931	1315	95
932	1316	94
933	1317	93
934	1318	91
935	1320	90
936	1321	88
937	1322	87
938	1323	85
939	1324	84
940	1326	83
941	1327	81
942	1328	80
943	1329	78
944	1330	77
945	1331	76
946	1332	74
947	1333	73
948	1334	71
949	1335	70
950	1337	68
951	1338	67
952	1340	66
953	1341	64
954	1342	63
955	1343	61
956	1344	60
957	1345	58
958	1346	57
959	1347	56
960	1348	54
961	1350	53
962	1351	51
963	1352	50
964	1354	49
965	1355	47
966	1356	46
967	1357	44
968	1358	43
969	1359	42
970	1360	40
971	1362	39
972	1363	37
973	1364	36
974	1365	35
975	1366	33
976	1368	32
977	1369	30
978	1370	29
979	1371	27
980	1372	26
981	1374	25
982	1375	23
983	1376	22
984	1377	20
985	1378	19
986	1380	18
987	1381	16
988	1382	15
989	1384	13
990	1385	12
991	1386	11
992	1387	9
993	1388	8
994	1389	6
995	1390	5
996	1391	4
997	1392	2
998	1394	1
999	1395	0
